Event Name,Job/Competition/Event,DeadLine,URL
Mindsprint,Guest Lecture,2024-07-26 00:00:00,https://forms.gle/L6M3qSDFvvWqcWJj6
Accenture,Job ,Open,https://tinyurl.com/bddesvcm
Oracle- Software Developer 2,Job,Open,https://tinyurl.com/4zz7c2a3
IBM,Job,Closed,https://tinyurl.com/4zz7c2a3
DE Shaw- SE,Job,Open,https://tinyurl.com/ypsh9sak
ACI Worldwide- Assoc SE,Job,Open,https://tinyurl.com/6vyjux42
General Mills,Job,Open,https://tinyurl.com/y43h8747
TVS Credit E.P.I.C 6.0 — Analytics Challenge,Competition,2024-08-10 00:00:00,https://unstop.com/o/f20KCiZ/?ref=WTrgn5Xn
Adobe GenSolve,Competition,Closed on 19-july,https://www.geeksforgeeks.org/hackathon/adobe-gensolve-innovate-to-impact?utm_source=adobe&utm_medium=combinedpromos&utm_campaign=AGS24
Swiggy,Job,Closed,https://forms.gle/x21dxxZHQpjxLHdq7
INFOCUSP INNOVATIONS- Machine Learning Engineer,JOB,Open,https://infocusp.keka.com/careers/applyjob/322
CloudSEK- SDE- Backend Intern,JOB,Open,https://boards.greenhouse.io/cloudsek/jobs/4435370004?gh_src=a4732d054us
Reliance- GTE,Job,Closed,https://careers.ril.com/rilcareers/frmJobSearch.aspx?JBTITLE=GVx%2f%2fTgtL%2fRRk8mFMi0Gfg%3d%3d&jbID=hw90i6ygw1aauXLd7GnGDg%3d%3d
Micron - BI Data Analyst,Job,Closed,https://tinyurl.com/psbkhb5c
Freton - SD,Job,Open,https://tinyurl.com/32bvfned
Sensia - SE FrontEnd,Job,Open,https://rockwellautomation.wd1.myworkdayjobs.com/External-Sensia/job/Pune-India/Software-Engineer-Front-End_R24-4137
KPIT - Leadership Webinar,Webinar,Closed on 11-july,https://events.teams.microsoft.com/event/cc233d78-e0a0-40ac-b30e-43e037e9bd0e@3539451e-b46e-4a26-a242-ff61502855c7
Google Intern,Internship,Closed on 21 - July,https://goo.gle/3zyeQIq
Flipkart GRiD 6.0,Hackathon,Active- Aug- 1- 2024,https://bit.ly/flipkartgrid6
,,,
"Adobe – Full Stack Developer

https://tinyurl.com/2s4zmt3x

SIEMENS – Associate Software Engineer

https://tinyurl.com/37r5aybc



Emerson - Graduate Engineer Trainee – Software

https://tinyurl.com/5n8b4hrs



Brose – Software Frontend Developer - Engineering Process Automation

https://tinyurl.com/ywybuke2



Amazon – Data Engineer

https://tinyurl.com/z5psnubr




Razorpay – Intern – Software Development Engineer

https://tinyurl.com/5n7neexc



Greenway Health - Associate Software Engineer

https://tinyurl.com/mrffa



Netomi – SDE I Frontend

https://tinyurl.com/2wfv72v2



Locus - Front-End SDE-1

https://tinyurl.com/3s3kcdc2



Sperax - Full Stack Developer – Internship

https://tinyurl.com/54jyb3hv



Silent Eight – Software Engineer

https://tinyurl.com/smkeeb49



Barclays – Software Engineer

https://tinyurl.com/4fmahkmm



OTG – Front End Developer

https://tinyurl.com/msn635rs



Solifi – Associate Software Engineer

https://tinyurl.com/3cp2z9vd



Fretron – Software Developer

https://tinyurl.com/yc332bbr




Observe.AI – Software
Development Engineer 

https://tinyurl.com/2jv5jntd




Upstox – Application Security Intern 

https://tinyurl.com/28f8dxkf



Paypal - Software Engineer

https://bit.ly/45IvFwf



Baker Hughes – Software Engineer

https://bit.ly/4bepz88



Corner Stone – Associate Software Engineer

https://bit.ly/4ce6Vi3



Urban Company – SDE 1 – Growth

https://bit.ly/4cey9oQ



Cobble Stone Energy – Graduate Software Engineer

https://bit.ly/4cBhThh



Shipthis – Backend Engineer

https://bit.ly/3XGFWaA



Meesho – Android Developer I

https://bit.ly/3RDLPRJ

____________________________

Confirmation form 
https://forms.gle/pBBZNdGbNAHGqw216",,,
